1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night? ,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,"11. How often do you use electronic devices (e.g., phone, computer) before going to sleep?","12. How often do you consume caffeine (coffee, energy drinks) to stay awake or alert?",13. How often do you engage in physical activity or exercise?,14. How would you describe your stress levels related to academic workload?,15. How would you rate your overall academic performance (GPA or grades) in the past semester?
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress,Poor
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Often,Often,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
Graduate student,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Female,Every night,7-8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Sometimes (3-4 times a week),Every day,Every day,Extremely high stress,Below Average
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,High stress,Poor
Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Always,Always,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Female,Every night,7-8 hours,Every night,Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Sometimes,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
Graduate student,Female,Every night,More than 8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average
Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Every day,High stress,Poor
Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
Third year,Female,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
Third year,Female,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,High stress,Poor
Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Often,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Below Average
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Often,Always,Severe impact,Every night,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Major impact,Every night,Every day,Every day,Extremely high stress,Below Average
Third year,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Below Average
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
Third year,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,High stress,Below Average
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Always,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,High stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,High stress,Poor
Third year,Male,Every night,7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Sometimes,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Often,Always,Major impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Average
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
Third year,Male,Every night,More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Female,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,High stress,Poor
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Below Average
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Below Average
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Often,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Sometimes (3-4 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Average
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Sometimes,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Every night,Every day,Every day,Extremely high stress,Below Average
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Average,Always,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
Third year,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average
Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Female,Every night,More than 8 hours,Every night,Good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Often,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,High stress,Poor
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Always,Always,Severe impact,Every night,Every day,Every day,High stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Always,Major impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Sometimes,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Always,Often,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Poor
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Good,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,High stress,Poor
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Below Average
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Male,Often (5-6 times a week),6-7 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,6-7 hours,Often (5-6 times a week),Good,Often,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
First year,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
Third year,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Often,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Third year,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Sometimes (1-2 times a week),Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Always,Always,Major impact,Every night,Every day,Often (5-6 times a week),High stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Below Average
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Sometimes,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Always,Often (3-4 times a week),Moderate impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Good
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Average,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress,Below Average
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average
Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
Third year,Male,Every night,6-7 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Often,Always,Severe impact,Often (5-6 times a week),Every day,Every day,High stress,Poor
Third year,Female,Every night,7-8 hours,Every night,Very good,Sometimes,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
Second year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Sometimes,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average
Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Sometimes,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Second year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
Second year,Male,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average
Graduate student,Male,Every night,7-8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Often,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Poor
Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Very poor,Always,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
Graduate student,Male,Every night,7-8 hours,Every night,Good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
Third year,Female,Every night,7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress,Average
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Often,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average
Second year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average
Third year,Male,Every night,More than 8 hours,Every night,Very good,Often,Often,Always,Major impact,Often (5-6 times a week),Every day,Every day,High stress,Poor
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Always,Always,Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Average
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Always,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Average
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Always,Always,Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Always,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average
Third year,Female,Often (5-6 times a week),More than 8 hours,Every night,Good,Always,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Always,Always,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
Graduate student,Male,Every night,More than 8 hours,Sometimes (3-4 times a week),Average,Often,Often,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Below Average
Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average
Graduate student,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Below Average
Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Often,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average
Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Always,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Below Average
Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
